SF Contact ID,BR Team ID,Entity ID,BR Team Name,Entity Name,DST Branch Internal ID,DST Firm Name,Office Address,Office City,Office State,Data Driven Segment, Total MF Opportunity 
SF00001,BR1001,E101,Alpha Advisors,Alpha Financial Group,B1001,GlobalWealth Partners,123 Main Street Suite 400,New York,NY,1 - Tier 1,$183500000
SF00002,BR1002,E101,Beta Management,Alpha Financial Group,B1001,GlobalWealth Partners,123 Main Street Suite 400,New York,NY,1 - Tier 1,$157200000
SF00003,BR1003,E102,Gamma Investments,Gamma Wealth LLC,B1002,Coastal Securities,456 Market Avenue,Boston,MA,1 - Tier 1,$142800000
SF00004,BR1004,E103,Delta Financial,Delta Group Inc.,B1003,Mountain Trust,789 Broadway,San Francisco,CA,1 - Tier 1,$136500000
SF00005,BR1005,E104,Epsilon Advisory,Epsilon Partners,B1004,National Financial Services,101 Park Place,Chicago,IL,1 - Tier 1,$128700000
SF00006,BR1006,E105,Zeta Capital,Zeta Holdings,B1005,Heartland Investments,202 Liberty Street,Dallas,TX,1 - Tier 1,$119200000
SF00007,BR1007,E106,Eta Wealth,Eta Management LLC,B1006,Atlantic Advisors,303 Oak Drive,Miami,FL,1 - Tier 1,$112400000
SF00008,BR1008,E107,Theta Financial,Theta Group,B1007,Pacific Wealth Management,404 Pine Avenue,Los Angeles,CA,1 - Tier 1,$108900000
SF00009,BR1009,E108,Iota Advisors,Iota Partners,B1008,Midwest Financial Group,505 Elm Street,Houston,TX,1 - Tier 1,$103600000
SF00010,BR1010,E109,Kappa Investments,Kappa Capital,B1009,Western Securities,606 Maple Road,Seattle,WA,1 - Tier 1,$98700000
SF00011,BR1011,E110,Lambda Planning,Lambda Associates,B1010,Southern Trust,707 Cedar Lane,Atlanta,GA,2 - Tier 2,$95200000
SF00012,BR1012,E111,Mu Capital,Mu Wealth Management,B1011,Northern Investments,808 Birch Street,Philadelphia,PA,2 - Tier 2,$92800000
SF00013,BR1013,E112,Nu Financial,Nu Advisors LLC,B1012,Central Securities,909 Walnut Avenue,Phoenix,AZ,2 - Tier 2,$88300000
SF00014,BR1014,E113,Xi Wealth,Xi Partners,B1013,Eastern Trust,1010 Chestnut Road,Denver,CO,2 - Tier 2,$85700000
SF00015,BR1015,E114,Omicron Advisors,Omicron Group,B1014,Great Lakes Financial,1111 Spruce Drive,Detroit,MI,2 - Tier 2,$82400000
SF00016,BR1016,E115,Pi Management,Pi Financial,B1015,Rocky Mountain Advisors,1212 Sycamore Lane,San Diego,CA,2 - Tier 2,$79900000
SF00017,BR1017,E116,Rho Investments,Rho Capital,B1016,Sunshine State Securities,1313 Willow Street,Tampa,FL,2 - Tier 2,$76200000
